Ref_area;REF_AREA;date;obsValue
États-Unis;USA;1999-08-01;152,4051080029631
Allemagne;DEU;1999-08-01;101,8158234879786
France;FRA;1999-08-01;112,2917513380956
Europe;EU27;1999-09-01;111,6246392310918
Italie;ITA;1999-09-01;111,3593338514956
États-Unis;USA;1999-09-01;151,7761250410867
Allemagne;DEU;1999-09-01;101,6861153268028
France;FRA;1999-09-01;115,6968343792408
Europe;EU27;1999-10-01;112,6050318958178
Italie;ITA;1999-10-01;112,1973707065195
États-Unis;USA;1999-10-01;154,0035583987859
Allemagne;DEU;1999-10-01;102,5940335542552
France;FRA;1999-10-01;117,4467344956568
Europe;EU27;1999-11-01;112,8851514860325
Italie;ITA;1999-11-01;112,7560034598737
États-Unis;USA;1999-11-01;155,0644223897853
Allemagne;DEU;1999-11-01;102,7237287485049
France;FRA;1999-11-01;117,3097174672279
Europe;EU27;1999-12-01;112,3249252561158
Italie;ITA;1999-12-01;110,5213847214644
États-Unis;USA;1999-12-01;156,1727589528234
Allemagne;DEU;1999-12-01;102,9831321039304
France;FRA;1999-12-01;116,2872023296985
Europe;EU27;2000-01-01;111,6246392310918
Italie;ITA;2000-01-01;110,9869412575904
États-Unis;USA;2000-01-01;156,1894062412614
Allemagne;DEU;2000-01-01;102,0752268434041
France;FRA;2000-01-01;117,1516043370141
Europe;EU27;2000-02-01;113,4453777159491
Italie;ITA;2000-02-01;112,1042944892914
États-Unis;USA;2000-02-01;156,5511168237366
Allemagne;DEU;2000-02-01;104,4098570422338
France;FRA;2000-02-01;117,6364917785478
Europe;EU27;2000-03-01;114,1456507904605
Italie;ITA;2000-03-01;113,2215599959997
États-Unis;USA;2000-03-01;157,5698720055731
Allemagne;DEU;2000-03-01;104,7989685588351
France;FRA;2000-03-01;118,2795999834676
Europe;EU27;2000-04-01;115,2661032502938
Italie;ITA;2000-04-01;114,2457492854799
États-Unis;USA;2000-04-01;158,5813010722620
Allemagne;DEU;2000-04-01;105,9662771747869
France;FRA;2000-04-01;118,9647927587846
Europe;EU27;2000-05-01;117,0868287846384
Italie;ITA;2000-05-01;115,1768623577320
États-Unis;USA;2000-05-01;158,5639996664001
Allemagne;DEU;2000-05-01;108,5603107290421
France;FRA;2000-05-01;120,8307214350171
Europe;EU27;2000-06-01;115,9663763248051
Italie;ITA;2000-06-01;114,9906221982831
États-Unis;USA;2000-06-01;158,8518113329114
Allemagne;DEU;2000-06-01;106,0959853359627
France;FRA;2000-06-01;119,0596175836439
Europe;EU27;2000-07-01;116,5266025547217
Italie;ITA;2000-07-01;114,0595968510237
États-Unis;USA;2000-07-01;158,9911546971355
Allemagne;DEU;2000-07-01;107,9117958570153
France;FRA;2000-07-01;120,3984666147731
Europe;EU27;2000-08-01;117,2268756292330
Italie;ITA;2000-08-01;114,5251533871497
États-Unis;USA;2000-08-01;157,9441579955226
Allemagne;DEU;2000-08-01;108,8197140844676
France;FRA;2000-08-01;118,9858888605694
Europe;EU27;2000-09-01;117,6470420640424
Italie;ITA;2000-09-01;114,8044697638268
États-Unis;USA;2000-09-01;158,6716837473079
Allemagne;DEU;2000-09-01;109,0791174398931
France;FRA;2000-09-01;119,6816296867789
Europe;EU27;2000-10-01;118,0672214493644
Italie;ITA;2000-10-01;115,5493426766299
États-Unis;USA;2000-10-01;158,0818660661869
Allemagne;DEU;2000-10-01;108,5603107290421
France;FRA;2000-10-01;121,1047554918750
Europe;EU27;2000-11-01;119,1876609586850
Italie;ITA;2000-11-01;117,0390885022361
États-Unis;USA;2000-11-01;157,6557085645230
Allemagne;DEU;2000-11-01;109,4682159895683
France;FRA;2000-11-01;120,9993826161233
Europe;EU27;2000-12-01;120,4481732136257
Italie;ITA;2000-12-01;118,6219105450705
États-Unis;USA;2000-12-01;156,6966579505520
Allemagne;DEU;2000-12-01;110,2464390227710
France;FRA;2000-12-01;122,6228137550028
Europe;EU27;2001-01-01;118,9075543189830
Italie;ITA;2001-01-01;115,4561787344091
États-Unis;USA;2001-01-01;156,0562606396287
Allemagne;DEU;2001-01-01;109,8573275061697
France;FRA;2001-01-01;121,6529312387631
Europe;EU27;2001-02-01;119,3277207537924
Italie;ITA;2001-02-01;114,6182296043778
États-Unis;USA;2001-02-01;155,0089532322395
Allemagne;DEU;2001-02-01;111,0246490890475
France;FRA;2001-02-01;122,4541525738966
Europe;EU27;2001-03-01;118,6274476792810
Italie;ITA;2001-03-01;114,3389132277007
États-Unis;USA;2001-03-01;154,6253624219352
Allemagne;DEU;2001-03-01;109,5979241507441
France;FRA;2001-03-01;123,0971531456440
Europe;EU27;2001-04-01;116,6666623498291
Italie;ITA;2001-04-01;113,3146362132279
États-Unis;USA;2001-04-01;154,0091183968890
Allemagne;DEU;2001-04-01;107,5226973073400
France;FRA;2001-04-01;120,3457263603111
Europe;EU27;2001-05-01;117,2268756292330
Italie;ITA;2001-05-01;112,8491674020945
États-Unis;USA;2001-05-01;153,1709650357884
Allemagne;DEU;2001-05-01;108,6900059232918
France;FRA;2001-05-01;121,3788971819052
Europe;EU27;2001-06-01;117,7871018591497
Italie;ITA;2001-06-01;113,2215599959997
États-Unis;USA;2001-06-01;152,2688716965026
Allemagne;DEU;2001-06-01;109,2088126341429
France;FRA;2001-06-01;121,6212870860859
Europe;EU27;2001-07-01;115,2661032502938
Italie;ITA;2001-07-01;110,9869412575904
États-Unis;USA;2001-07-01;151,5155573652804
Allemagne;DEU;2001-07-01;106,0959853359627
